LocID,Latitude,Longitude,MaxRunwayLen
SIT,57.04683333,-135.3610694,7200
A68,59.55286944,-139.5102222,2150
AA06,61.28972222,-149.8061111,4000
SGY,59.4602,-135.3168583,3550
3AK1,61.93798333,-147.1700806,660
AK67,61.73861111,-150.0727778,1400
SKW,61.96611389,-151.1953917,3400
25AA,64.92865833,-147.8805722,2400
9AK5,61.11648056,-149.8187694,1800
AK50,61.55463333,-149.1415139,2000
6AK2,61.25162778,-149.9662028,1600
SLQ,61.70050833,-157.16585,3100
7AK2,58.13439444,-133.7295139,3000
5AK4,62.03280556,-146.6749667,5000
SXQ,60.47513889,-151.0396389,5001
AK26,64.56064167,-164.4423278,1150
87AK,61.65153056,-149.2884806,1100
3AK3,62.56376667,-150.2205,2100
AK39,60.69719722,-150.17995,2500
67AK,61.53463889,-149.6701,2640
WSN,58.70208333,-157.0025833,3314
9AK0,62.51213056,-143.2354722,1400
Z90,63.75120556,-150.3302639,1960
WBB,63.51597222,-162.278,2999
AK61,62.69962778,-148.9074111,3000
40AK,60.55121111,-150.8490278,1980
SVS,66.01716667,-149.0543611,4000
PBV,56.57736111,-169.6637222,4982
4AK2,61.55798889,-149.4240778,900
KSM,62.06083056,-163.3018361,6008
SMK,63.49005556,-162.1103889,4001
AK53,61.25708889,-153.7978833,1227
SRV,61.78975,-156.5885278,2601
SNP,57.16630556,-170.2225556,6500
AK30,60.39115278,-146.0974639,1600
AK54,61.59333056,-149.3262306,900
UMM,63.33103889,-149.1288361,3814
AK16,61.52341944,-149.7148611,1600
AK31,61.411225,-143.0012361,2000
TCT,62.99294444,-156.0297222,3300
1AK6,61.85613889,-151.3979722,1800
1AK8,61.67467222,-151.384875,950
TKA,62.32137222,-150.0927194,3500
AK44,62.31893611,-150.1161472,1600
TSG,63.37406389,-143.3289889,4963
A69,59.24959722,-138.5041667,1900
7KA,60.87238889,-146.6911667,8000
8KA,62.29328611,-153.3619528,1200
AK49,65.679275,-164.7988056,2200
ATM,60.86777778,-157.3919444,1950
Z14,62.06478889,-146.4605222,1200
ANC,61.17408333,-149.9981389,12400
2K5,63.37898333,-153.2842167,1900
TER,65.24038889,-166.3393889,2983
3T4,63.12469444,-142.5185556,3300
AK08,61.78991944,-150.1060389,1650
K55,61.17726944,-145.6884333,2530
4AK9,58.73426944,-157.0071417,1700
77AK,61.50266944,-149.5956556,1700
AA76,64.76944444,-147.3294444,2450
TNW,62.53212222,-153.6127889,2000
24AK,61.61575,-149.7069306,1300
5AK5,61.65708889,-149.4617111,1500
TOG,59.05355556,-160.3967778,4400
8AK9,63.29992778,-143.0233389,2035
6K8,63.32951389,-142.9536833,2509
OOK,60.54133333,-165.0871944,3218
83AK,65.2565,-148.8302556,1500
9AK,64.02565833,-148.5223389,780
5AK0,60.81555,-151.7989167,4500
AA16,60.62480833,-151.2945,2700
AA30,61.64818889,-149.8708306,1285
Z25,59.26314444,-158.5577556,1250
6AK8,61.61815,-149.6691889,1200
TLT,61.08772778,-160.9233528,3300
A61,60.35110833,-162.6546111,3005
4KA,60.56952778,-165.2462778,3300
AK14,61.35333333,-150.0825,2000
A63,59.074525,-160.2750417,3000
AK95,61.57036667,-149.7790389,1000
06AA,60.54013889,-150.8136111,1504
93AK,62.18426944,-147.3752194,1590
TYE,61.07666389,-151.1380694,3000
9A8,57.523425,-157.3959944,3100
UGB,57.42535833,-157.7398667,5280
AA05,57.55853056,-156.7876833,988
UBW,70.33066667,-149.5980556,6551
UMT,69.37111389,-152.1349833,5583
UNK,63.8885,-160.7991111,5900
DUT,53.89894444,-166.5450278,4500
AK74,65.90485833,-163.3290917,1400
VDZ,61.13422222,-146.2447694,6500
AK27,61.64258056,-149.62445,1800
VEE,67.008675,-146.3663583,4000
